,tech,related,strategy
,All,All,All
0,Storage,Amazon S3,Hold
1,Storage,Google Cloud Storage,Try
2,Storage,Pure Storage,Hold
3,Storage,Alluxio,Try
4,Storage,Nimble Storage,Hold
5,Storage,Qumulo,Hold
6,Storage,Clumio,Try
7,Storage,Vast,Hold
8,Storage,Datera,Try
9,Storage,Cohesity,Hold
10,Storage,Panasas,Hold
11,Storage,Wasabi,Try
12,Storage,IBM Storage,Hold
13,Storage,Azure Storage,Try
14,Hadoop,Cloudera,Hold
15,Hadoop,Amazon EMR,Hold
16,Hadoop,Google Cloud Dataproc,Try
17,Hadoop,HPE Ezmera | Data Fabric,Hold
18,Hadoop,Jethro,Try
19,Hadoop,IBM InfoSphere BigInsights,Hold
20,Hadoop,IBM InfoSphere,Hold
21,Hadoop,Arm Treasure Data,Try
22,Hadoop,SAP Cloud Platform,Hold
23,Hadoop,Pivotal,Try
24,Hadoop,Amazon EMR,Hold
25,Hadoop,Azure HDInsight,Hold
26,Infrastructure as code,Ansible,Try
27,Infrastructure as code,AWS CloudFormation,Hold
28,Infrastructure as code,Google Cloud Deployment Manager,Try
29,Infrastructure as code,Vagrant,Hold
30,Infrastructure as code,Crossplane,Hold
31,Infrastructure as code,Puppet,Try
32,Infrastructure as code,Pulumi,Hold
,Infrastructure as code,Azure Resource Manager,Try
,Infrastructure as code,Progress Chef,Hold
,Infrastructure as code,Terraform,Hold
,Data Lakes,Domo,Try
,Data Lakes,Cloudera,Hold
,Data Lakes,Databricks,Try
,Data Lakes,Azure Data Lake Storage,Hold
,Data Lakes,Dremio,Hold
,Data Lakes,Amazon AWS Lake Formation,Try
,Data Lakes,IBM Power Systems,Hold
,Data Lakes,Qubole,Try
,Data Warehouse,Amazon Redshift,Hold
,Data Warehouse,Snowflake,Hold
,Data Warehouse,Google BigQuery,Try
,Data Warehouse,Azure Synapse Analytics,Hold
,Data Warehouse,Oracle Exadata Cloud Service,Try
,Data Warehouse,Firebolt,Hold
,Data Warehouse,Pivotal,Hold
,Data Warehouse,Infoworks,Try
,Data Warehouse,Kyligence,Hold
,Data Warehouse,Yellowbrick,Try
,Streaming / In-Memory,Amazon Kinesis,Hold
,Streaming / In-Memory,Google Cloud Dataflow,Hold
,Streaming / In-Memory,Databricks,Try
,Streaming / In-Memory,Confluent,Hold
,Streaming / In-Memory,Oracle Coherence,Try
,Streaming / In-Memory,SAP Cloud Platform,Hold
,Streaming / In-Memory,Striim,Hold
,Streaming / In-Memory,Gigaspaces,Try
,Streaming / In-Memory,GridGain,Hold
,Streaming / In-Memory,Hazelcast,Try
,Streaming / In-Memory,kx,Hold
,Streaming / In-Memory,Materialize,Hold
,Streaming / In-Memory,Wallaroo Labs,Try
,Streaming / In-Memory,Fast Data,Hold
,Streaming / In-Memory,Meroxa,Try
,Streaming / In-Memory,Vectorized,Hold
,Streaming / In-Memory,Estuary,Hold
,RDBMS,IBM DB2,Try
,RDBMS,Oracle,Hold
,RDBMS,SAP ASE,Try
,RDBMS,Microsoft SQL Server,Hold
,RDBMS,Microsoft Access,Hold
,RDBMS,Amazon RDS,Try
,RDBMS,Amazon Aurora,Hold
,NoSQL Databases,Google Cloud Bigtable,Try
,NoSQL Databases,Amazon DynamoDB,Hold
,NoSQL Databases,Amazon DocumentDB,Hold
,NoSQL Databases,Azure CosmosDB,Try
,NoSQL Databases,Oracle,Hold
,NoSQL Databases,MongoDB,Try
,NoSQL Databases,MarkLogic,Hold
,NoSQL Databases,Couchbase,Hold
,NoSQL Databases,Datastax,Try
,NoSQL Databases,Aerospike,Hold
,NoSQL Databases,Redislabs,Try
,NoSQL Databases,Scylla,Hold
,NoSQL Databases,ArangoDB,Hold
,NoSQL Databases,Crate.io,Try
,NewSQL Database,SAP Hana,Hold
,NewSQL Database,Amazon Aurora,Try
,NewSQL Database,NuoDB,Hold
,NewSQL Database,MariaDB,Hold
,NewSQL Database,Cloud Spanner,Try
,NewSQL Database,Pivotal,Hold
,NewSQL Database,Clustrix,Try
,NewSQL Database,Influx data,Hold
,NewSQL Database,Cockroach Labs,Hold
,NewSQL Database,Splice Machine,Try
,NewSQL Database,Volt DB,Hold
,NewSQL Database,TiDB,Try
,NewSQL Database,Timescale,Hold
,NewSQL Database,Apache Trafodio,Hold
,NewSQL Database,Paradigm4,Try
,NewSQL Database,PingCAP,Hold
,NewSQL Database,YugabyteDB,Try
,Real Time Database,SingleStore,Hold
,Real Time Database,Imply,Hold
,Real Time Database,Rockset,Try
,Real Time Database,ClickHouse,Hold
,Real Time Database,StarTree,Try
,Real Time Database,Altinity,Hold
,Real Time Database,Rill,Hold
,Graph DBs,Neo4j,Try
,Graph DBs,Amazon Neptune,Hold
,Graph DBs,Apache Giraph,Try
,Graph DBs,OrientDB,Hold
